title,description
Calculus Volume 1,"<p data-block-key=""esja3""><i>Calculus</i> is designed for the typical two- or three-semester general calculus course, incorporating innovative features to enhance student learning. The book guides students through the core concepts of calculus and helps them understand how those concepts apply to their lives and the world around them. Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency. <i>Volume 1</i> covers functions, limits, derivatives, and integration.<br/></p><p data-block-key=""9vy8w"">Please note that this title is published under a CC BY-NC-SA 4.0 license, which means that you are free to use and adapt, but not for commercial purposes. Changes you make need to be shared using this license.</p>"
Calculus Volume 2,"<p data-block-key=""6i1ux""><i>Calculus</i> is designed for the typical two- or three-semester general calculus course, incorporating innovative features to enhance student learning. The book guides students through the core concepts of calculus and helps them understand how those concepts apply to their lives and the world around them. Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency. <i>Volume 2</i> covers integration, differential equations, sequences and series, and parametric equations and polar coordinates.</p><p data-block-key=""72w6f"">Please note that this title is published under a CC BY-NC-SA 4.0 license, which means that you are free to use and adapt, but not for commercial purposes. Changes you make need to be shared using this license.<br/></p>"
Calculus Volume 3,"<p data-block-key=""x4f0g""><i>Calculus</i> is designed for the typical two- or three-semester general calculus course, incorporating innovative features to enhance student learning. The book guides students through the core concepts of calculus and helps them understand how those concepts apply to their lives and the world around them. Due to the comprehensive nature of the material, we are offering the book in three volumes for flexibility and efficiency. <i>Volume 3</i> covers parametric equations and polar coordinates, vectors, functions of several variables, multiple integration, and second-order differential equations.</p><p data-block-key=""u6o3e"">Please note that this title is published under a CC BY-NC-SA 4.0 license, which means that you are free to use and adapt, but not for commercial purposes. Changes you make need to be shared using this license.<br/></p>"
Chemistry,"<p data-block-key=""u4aen""><i>Chemistry</i> is designed to meet the scope and sequence requirements of the two-semester general chemistry course. The textbook provides an important opportunity for students to learn the core concepts of chemistry and understand how those concepts apply to their lives and the world around them. The book also includes a number of innovative features, including interactive exercises and real-world applications, designed to enhance student learning.<br/></p>"
Chemistry 2e,"<p data-block-key=""r55x3""><i>Chemistry 2e</i> is designed to meet the scope and sequence requirements of the two-semester general chemistry course. The textbook provides an important opportunity for students to learn the core concepts of chemistry and understand how those concepts apply to their lives and the world around them. The book also includes a number of innovative features, including interactive exercises and real-world applications, designed to enhance student learning. The second edition has been revised to incorporate clearer, more current, and more dynamic explanations, while maintaining the same organization as the first edition. Substantial improvements have been made in the figures, illustrations, and example exercises that support the text narrative. Changes made in<i> Chemistry 2e</i> are described in the preface to help instructors transition to the second edition. The first edition of <i>Chemistry</i> by OpenStax is available in web view <a href=""https://openstax.org/books/chemistry/pages/1-introduction"">here</a>.</p>"
Chemistry: Atoms First 2e,"<p data-block-key=""psew1""><i>Chemistry: Atoms First 2e</i> is a peer-reviewed, openly licensed introductory textbook produced through a collaborative publishing partnership between OpenStax and the University of Connecticut and UConn Undergraduate Student Government Association.<br/><br/> This text is an atoms-first adaptation of OpenStax <i>Chemistry 2e</i>. The intention of “atoms-first” involves a few basic principles: first, it introduces atomic and molecular structure much earlier than the traditional approach, and it threads these themes through subsequent chapters. This approach may be chosen as a way to delay the introduction of material such as stoichiometry that students traditionally find abstract and difficult, thereby allowing students time to acclimate their study skills to chemistry. Additionally, it gives students a basis for understanding the application of quantitative principles to the chemistry that underlies the entire course. It also aims to center the study of chemistry on the atomic foundation that many will expand upon in a later course covering organic chemistry, easing that transition when the time arrives.<br/></p><p data-block-key=""nbohc"">The second edition has been revised to incorporate clearer, more current, and more dynamic explanations, while maintaining the same organization as the first edition. Substantial improvements have been made in the figures, illustrations, and example exercises that support the text narrative. The first edition of <i>Chemistry: Atoms First</i> by OpenStax is available in web view <a href=""https://openstax.org/books/chemistry-atoms-first/pages/1-introduction"">here</a>.</p>"
Chemistry: Atoms First,"<p data-block-key=""pqzai""><i>Chemistry: Atoms First</i> is a peer-reviewed, openly licensed introductory textbook produced through a collaborative publishing partnership between OpenStax and the University of Connecticut and UConn Undergraduate Student Government Association.<br/></p><p data-block-key=""bxu1n"">This title is an adaptation of the OpenStax <i>Chemistry</i> text and covers scope and sequence requirements of the two-semester general chemistry course. Reordered to fit an atoms first approach, this title introduces atomic and molecular structure much earlier than the traditional approach, delaying the introduction of more abstract material so students have time to acclimate to the study of chemistry. <i>Chemistry: Atoms First</i> also provides a basis for understanding the application of quantitative principles to the chemistry that underlies the entire course.</p>"
College Algebra,"<p data-block-key=""akwpv""></p><p data-block-key=""xop4n""><i>College Algebra</i> provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra course. The modular approach and richness of content ensure that the book meets the needs of a variety of courses. <i>College Algebra</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p>"
College Algebra 2e,"<p data-block-key=""3w7u3""><i>College Algebra 2e</i> provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra course. The modular approach and richness of content ensure that the book addresses the needs of a variety of courses. <i>College Algebra</i> <i>2e</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p><p data-block-key=""2p2vq""></p><p data-block-key=""2mtq4"">The <i>College Algebra 2e</i> revision focused on improving relevance and representation as well as mathematical clarity and accuracy. Introductory narratives, examples, and problems were reviewed and revised using a diversity, equity, and inclusion framework. Many contexts, scenarios, and images have been changed to become even more relevant to students’ lives and interests. To maintain our commitment to accuracy and precision, examples, exercises, and solutions were reviewed by multiple faculty experts. All improvement suggestions and errata updates from the first edition were considered and unified across the different formats of the text. The first edition of <i>College Algebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/college-algebra/pages/1-introduction-to-prerequisites"">here</a>.</p><p data-block-key=""4a98g""></p><p data-block-key=""46gh5"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
College Algebra with Corequisite Support,"<p data-block-key=""pq7d4""><i>College Algebra with Corequisite Support</i> integrates comprehensive algebraic principles with effective foundational review. Each textbook section is paired with a thoughtfully developed, topically aligned skills module that prepares students for the course material. The modules include conceptual overviews, worked examples, and guided practice; they incorporate relevant material from OpenStax’s Developmental Math series.</p><p data-block-key=""5de68"">To offer the most flexibility as possible, the material within <i>College Algebra with Corequisite Support</i> will be available in several formats. The skills modules can be downloaded and/or printed for use in classes, workshops, or tutoring sessions, and will be provided as both Word and PDF files.</p><p data-block-key=""5spc3"">We have posted draft, not final, content. All draft content is subject to peer review, editorial changes, and correction. Page numbers, as well as numbering on figures, equations, examples, footnotes, etc. may not be accurate or final. Links may be missing or non-functional.</p>"
College Algebra 2e with Corequisite Support,"<p data-block-key=""nwbbn""><i>College Algebra 2e with Corequisite Support</i> integrates comprehensive algebraic principles with effective foundational review. Each textbook section is paired with a thoughtfully developed, topically aligned skills module that prepares students for the course material. The modules include conceptual overviews, worked examples, and guided practice; they incorporate relevant material from OpenStax’s Developmental Math series.</p><p data-block-key=""fkvi1""><br/>To offer the most flexibility as possible, the material within <i>College Algebra 2e with Corequisite Support</i> will be available in several formats. The skills modules can be downloaded and/or printed for use in classes, workshops, or tutoring sessions, and will be provided as both Word and PDF files.</p><p data-block-key=""94u43""></p><p data-block-key=""5rf10"">The <i>College Algebra 2e with Corequisite Support</i> revision focused on improving relevance and representation as well as mathematical clarity and accuracy. Introductory narratives, examples, and problems were reviewed and revised using a diversity, equity, and inclusion framework. Many contexts, scenarios, and images have been changed to become even more relevant to students’ lives and interests. To maintain our commitment to accuracy and precision, examples, exercises, and solutions were reviewed by multiple faculty experts. All improvement suggestions and errata updates from the first edition were considered and unified across the different formats of the text. The first edition of <i>College Algebra</i> <i>with Corequisite Support</i> by OpenStax is available in web view <a href=""https://openstax.org/books/college-algebra-corequisite-support/pages/1-introduction-to-prerequisites"">here</a>.</p><p data-block-key=""rhkb""></p><p data-block-key=""c9fun"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
College Physics,"<p data-block-key=""i0odq""><i>College Physics</i> meets standard scope and sequence requirements for a two-semester introductory algebra-based physics course. The text is grounded in real-world examples to help students grasp fundamental physics concepts. It requires knowledge of algebra and some trigonometry, but not calculus. <i>College Physics</i> includes learning objectives, concept questions, links to labs and simulations, and ample practice opportunities for traditional physics application problems.<br/></p>"
College Physics 2e,"<p data-block-key=""k4g94""><i>College Physics 2e</i> introduces topics conceptually and progresses through clear explanations in the context of career-oriented, practical applications, and meets the scope and sequence of an algebra-based physics course. The narrative of physics and scientific discovery has been even further expanded to focus on including more diverse contributors to the field. Building on the success of the first edition the authors have increased focus on interdisciplinary connections, including enhancements to biological and medical applications. The problem solving approach has been revised to further unify conceptual, analytical, and calculation skills within the learning process, the authors have integrated a wide array of strategies and supports throughout the text for students.</p><p data-block-key=""a10q3"">The first edition of <i>College Physics</i> by OpenStax is available in web view <a href=""https://openstax.org/books/college-physics/pages/1-introduction-to-science-and-the-realm-of-physics-physical-quantities-and-units"">here</a>.</p>"
College Physics For AP® Courses 2e,"<p data-block-key=""ow8zh""><i>College Physics for AP® Courses 2e</i> is designed to engage students in their exploration of physics and help them apply these concepts to the Advanced Placement® test. Because physics is integral to modern technology and other sciences, the book also includes content that goes beyond the scope of the AP® course to further student understanding. The AP® Connection in each chapter directs students to the material they should focus on for the AP® exam, and what content — although interesting — is not necessarily part of the AP® curriculum. This book is Learning List-approved for AP® Physics courses and meets the scope and sequence for these courses.</p><p data-block-key=""6tpu1"">The first edition of <i>College Physics for AP® Courses</i> by OpenStax is available in web view <a href=""https://openstax.org/books/college-physics-ap-courses/pages/1-connection-for-ap-r-courses"">here</a>.</p><p data-block-key=""c5unu""></p><p data-block-key=""dlb06""></p>"
College Physics with Courseware,
College Success,"<p data-block-key=""vddik"">OpenStax <i>College Success</i> is a comprehensive and contemporary resource that serves First Year Experience, Student Success, and College Transition courses. Developed with the support of hundreds of faculty and coordinators, the book addresses the evolving challenges and opportunities of today’s diverse students. Engagement, self-analysis, personal responsibility, and student support are reflected throughout the material. <i>College Success</i> also includes an array of student surveys and opinion polls, and OpenStax will regularly provide the results to adopting faculty.  </p><p data-block-key=""6vvad"">Based on OpenStax’s open (CC-BY) license and its wide array of formats, faculty may remix and reuse these elements according to their approach. OpenStax textbooks are always free online, and as a PDF.</p><p data-block-key=""47gvv"">Robust instructor ancillaries will include lecture slides, an instructor resource manual, a test bank, and other resources.</p>"
College Success Concise,"<p data-block-key=""535n7"">OpenStax <i>College Success</i> <i>Concise</i> serves First Year Experience, Student Success, and College Transition courses, and can also be used as a supplementary resource in courses across the curriculum. With the input of hundreds of instructors and academic success experts, the authors carefully prioritized the most critical topics to align to briefer courses. The offering covers material such as college culture, time management, mindset, study skills, test preparation, financial literacy, health, and planning for the future. While much of the material is very similar to the original <i>College Success</i> book, this version was holistically edited and updated. Users will see additions such as a new section on group work and greatly expanded coverage of stress management and wellbeing.</p><p data-block-key=""5f9sb"">While <i>College Success Concise</i> is a self-contained work with a logical flow and narrative, our open (CC-BY) license and multiple formats allow instructors and students to utilize content from the original <i>College Success</i> text, as well. Ancillaries such as the Instructor’s Manual, Test Bank, and Lecture Slides will specifically support <i>College Success Concise</i>.</p>"
Concepts of Biology,"<p data-block-key=""2nvyi""><i>Concepts of Biology</i> is designed for the typical introductory biology course for nonmajors, covering standard scope and sequence requirements. The text includes interesting applications and conveys the major themes of biology, with content that is meaningful and easy to understand. The book is designed to demonstrate biology concepts and to promote scientific literacy.<br/><br/></p>"
Contemporary Mathematics,"<p data-block-key=""3uodr""><i>Contemporary Mathematics</i> is designed to meet the scope and sequence requirements for a liberal arts mathematics course. This resource provides stand-alone sections with a focus on showing relevance in the features as well as the examples, exercises, and exposition. <i>Contemporary Mathematics</i> integrates technology applications, projects, and highlights a diverse group of contributors to mathematics, statistics, and related fields.</p>"
Elementary Algebra,"<p data-block-key=""fp9d9""><i>Elementary Algebra</i> is designed to meet the scope and sequence requirements of a one-semester elementary algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.</p>"
Elementary Algebra 2e,"<p data-block-key=""dia9z""><i>Elementary Algebra 2e</i> is designed to meet scope and sequence requirements for a one-semester elementary algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. Each topic builds upon previously developed material to demonstrate the cohesiveness and structure of mathematics.</p><p data-block-key=""cfq0e"">The second edition contains detailed updates and accuracy revisions to address comments and suggestions from users. Dozens of faculty experts worked through the text, exercises and problems, graphics, and solutions to identify areas needing improvement. Though the authors made significant changes and enhancements, exercise and problem numbers remain nearly the same in order to ensure a smooth transition for faculty. The first edition of <i>Elementary Algebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/elementary-algebra/pages/1-introduction"">here</a>.</p>"
Entrepreneurship,"<p data-block-key=""0ah1s"">This textbook is intended for use in introductory Entrepreneurship classes at the undergraduate level. Due to the wide range of audiences and course approaches, the book is designed to be as flexible as possible. Theoretical and practical aspects are presented in a balanced manner, and specific components such as the business plan are provided in multiple formats. <i>Entrepreneurship</i> aims to drive students toward active participation in entrepreneurial roles, and exposes them to a wide range of companies and scenarios.</p>"
Fizyka dla szkół wyższych. Tom 1,"<p data-block-key=""a4h0z""><i>Fizyka dla szkół wyższych. Tom 1</i> dopasowana jest pod względem zakresu i układu treści do typowych kursów wprowadzających z fizyki ogólnej opartych na analizie matematycznej. Podręcznik kładzie nacisk na powiązania między teorią a praktycznymi zastosowaniami, wyjaśniając zagadnienia fizyczne w ciekawy i zrozumiały sposób, lecz z zachowaniem niezbędnego rygoru matematycznego. Liczne, dobrze dobrane przykłady pokazują, jak podejść do zadania, jak wykorzystać wzory i wreszcie jak sprawdzić i uogólnić wynik. Pytania prosimy wysyłać na adres <a href=""mailto:kontakt@openstax.pl"">kontakt@openstax.pl</a>.<br/><br/><a href=""https://openstax.org/blog/openstax-partners-katalyst-deliver-free-textbooks-poland"">OpenStax has partnered with Katalyst Education</a> to bring free, peer-reviewed, openly licensed textbooks to Poland as part of a new effort to internationalize OpenStax’s free open textbook model. <i>Fizyka dla szkół wyższych</i> is the first Polish title to be published under this agreement. Click <a href=""https://openstax.org/details/books/university-physics-volume-1"">here</a> for the English version of University Physics Volume 1.</p><p data-block-key=""gxggl""></p>"
Fizyka dla szkół wyższych. Tom 2,"<p data-block-key=""korlh""><i>Fizyka dla szkół wyższych. Tom 2</i> dopasowana jest pod względem zakresu i układu treści do typowych kursów wprowadzających z fizyki ogólnej opartych na analizie matematycznej. Podręcznik kładzie nacisk na powiązania między teorią a praktycznymi zastosowaniami, wyjaśniając zagadnienia fizyczne w ciekawy i zrozumiały sposób, lecz z zachowaniem niezbędnego rygoru matematycznego. Liczne, dobrze dobrane przykłady pokazują, jak podejść do zadania, jak wykorzystać wzory i wreszcie jak sprawdzić i uogólnić wynik.<br/> Pytania prosimy wysyłać na adres <a href=""mailto:kontakt@openstax.pl"">kontakt@openstax.pl</a>.<br/><br/><br/><a href=""/blog/openstax-partners-katalyst-deliver-free-textbooks-poland"">OpenStax has partnered with Katalyst Education</a> to bring free, peer-reviewed, openly licensed textbooks to Poland as part of a new effort to internationalize OpenStax’s free open textbook model. <i>Fizyka dla szkół wyższych</i> is the first Polish title to be published under this agreement. Click <a href=""https://openstax.org/details/books/university-physics-volume-2"">here</a> for the English version of University Physics Volume 2.<br/><br/></p>"
Fizyka dla szkół wyższych. Tom 3,"<p data-block-key=""1a2kk""><i>Fizyka dla szkół wyższych. Tom 3</i> dopasowana jest pod względem zakresu i układu treści do typowych kursów wprowadzających z fizyki ogólnej opartych na analizie matematycznej. Podręcznik kładzie nacisk na powiązania między teorią a praktycznymi zastosowaniami, wyjaśniając zagadnienia fizyczne w ciekawy i zrozumiały sposób, lecz z zachowaniem niezbędnego rygoru matematycznego. Liczne, dobrze dobrane przykłady pokazują, jak podejść do zadania, jak wykorzystać wzory i wreszcie jak sprawdzić i uogólnić wynik.<br/> Pytania prosimy wysyłać na adres <a href=""mailto:kontakt@openstax.pl"">kontakt@openstax.pl</a>.<br/><br/><br/><a href=""/blog/openstax-partners-katalyst-deliver-free-textbooks-poland"">OpenStax has partnered with Katalyst Education</a> to bring free, peer-reviewed, openly licensed textbooks to Poland as part of a new effort to internationalize OpenStax’s free open textbook model. <i>Fizyka dla szkół wyższych</i> is the first Polish title to be published under this agreement. Click <a href=""https://openstax.org/details/books/university-physics-volume-3"">here</a> for the English version of University Physics Volume 3.<br/><br/></p>"
Intermediate Algebra,"<p data-block-key=""9sl5u""><i>Intermediate Algebra</i> is designed to meet the scope and sequence requirements of a one-semester intermediate algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. The material is presented as a sequence of clear steps, building on concepts presented in prealgebra and elementary algebra courses.<br/></p>"
Intermediate Algebra 2e,"<p data-block-key=""xy3uj""><i>Intermediate Algebra 2e</i> is designed to meet the scope and sequence requirements of a one-semester intermediate algebra course. The book’s organization makes it easy to adapt to a variety of course syllabi. The text expands on the fundamental concepts of algebra while addressing the needs of students with diverse backgrounds and learning styles. The material is presented as a sequence of clear steps, building on concepts presented in prealgebra and elementary algebra courses.</p><p data-block-key=""zkk6b"">The second edition contains detailed updates and accuracy revisions to address comments and suggestions from users. Dozens of faculty experts worked through the text, exercises and problems, graphics, and solutions to identify areas needing improvement. Though the authors made significant changes and enhancements, exercise and problem numbers remain nearly the same in order to ensure a smooth transition for faculty. The first edition of <i>Intermediate Algebra</i> by OpenStax is available in web view <a href=""https://openstax.org/books/intermediate-algebra/pages/1-introduction"">here</a>.</p>"
